CC = true;
		C = {cutNode, improving, formerPv, priorCapture, (ss-1)->moveCount > 1, ttMove != MOVE_NONE};
		
[12] Total 171011 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[13] Total 91599002 ChiSquare(x,y) = 296.859 CV=-0.00180024 p=2.46506e-78 => H0 rejected
[14] Total 408092 ChiSquare(x,y) = 2044.74 CV=0.0707849 p=0 => H0 rejected
[15] Total 335825 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[16] Total 70220258 ChiSquare(x,y) = 861.088 CV=-0.00350181 p=2.8669e-225 => H0 rejected
[17] Total 3239279 ChiSquare(x,y) = 4747.33 CV=-0.0382825 p=0 => H0 rejected
[18] Total 4837656 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[19] Total 35823513 ChiSquare(x,y) = 22366.7 CV=0.0249872 p=0 => H0 rejected
[20] Total 17834028 ChiSquare(x,y) = 2678.78 CV=-0.0122559 p=0 => H0 rejected
[21] Total 3572889 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[22] Total 14666730 ChiSquare(x,y) = 19138.4 CV=0.0361232 p=0 => H0 rejected
[23] Total 4102992 ChiSquare(x,y) = 2999.68 CV=0.0270388 p=0 => H0 rejected
[24] Total 1264767 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[25] Total 21156783 ChiSquare(x,y) = 586.959 CV=0.00526719 p=6.99859e-154 => H0 rejected
[26] Total 13731036 ChiSquare(x,y) = 63796.5 CV=-0.0681627 p=0 => H0 rejected
[27] Total 12729 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[28] Total 42641661 ChiSquare(x,y) = 752.183 CV=-0.00419996 p=6.57473e-197 => H0 rejected
[29] Total 12188721 ChiSquare(x,y) = 3.0592 CV=-0.000500985 p=0.0798554 => H0 accepted
[30] Total 8734 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[31] Total 715330 ChiSquare(x,y) = 7.60534 CV=0.00326066 p=0.00522894 => H0 rejected
[32] Total 340249 ChiSquare(x,y) = 1.40198 CV=-0.00202989 p=0.215711 => H0 accepted
[33] Total 3995 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[34] Total 41926331 ChiSquare(x,y) = 690.895 CV=-0.00405941 p=6.00399e-181 => H0 rejected
[35] Total 11848472 ChiSquare(x,y) = 1.71396 CV=-0.000380337 p=0.178907 => H0 accepted
[36] Total 843 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[37] Total 28010616 ChiSquare(x,y) = 159.432 CV=-0.00238576 p=1.51424e-42 => H0 rejected
[38] Total 2545251 ChiSquare(x,y) = 0.1179 CV=0.000215225 p=0.465872 => H0 accepted
[39] Total 307 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[40] Total 72997 ChiSquare(x,y) = 0.633557 CV=0.00294605 p=0.341965 => H0 accepted
[41] Total 6337 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[42] Total 536 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[43] Total 27937619 ChiSquare(x,y) = 166.519 CV=-0.00244139 p=2.16035e-44 => H0 rejected
[44] Total 2538914 ChiSquare(x,y) = 0.117749 CV=0.000215355 p=0.465914 => H0 accepted
[45] Total 11886 ChiSquare(x,y) = nan CV=nan p=nan => H0 accepted
[46] Total 14631045 ChiSquare(x,y) = 106.843 CV=-0.00270232 p=7.5022e-29 => H0 rejected
