CC = !((ss-1)->statScore < 22661);
		C = {cutNode, improving, formerPv, priorCapture, (ss-1)->moveCount > 1, ttMove != MOVE_NONE};
		
[398] Total 39179 Hits 34085 hit rate (%) 86.9981 size 5
[399] Total 44659 Hits 38778 hit rate (%) 86.8313 size 5
[400] Total 6342 Hits 5504 hit rate (%) 86.7865 size 6
[401] Total 38317 Hits 33274 hit rate (%) 86.8387 size 6
[402] Total 912 Hits 857 hit rate (%) 93.9693 size 5
[403] Total 50 Hits 46 hit rate (%) 92 size 6
[404] Total 862 Hits 811 hit rate (%) 94.0835 size 6
[405] Total 14557 Hits 10920 hit rate (%) 75.0155 size 2
[406] Total 4028 Hits 3220 hit rate (%) 79.9404 size 3
[407] Total 10529 Hits 7700 hit rate (%) 73.1314 size 3
[408] Total 14092 Hits 10522 hit rate (%) 74.6665 size 3
[409] Total 3971 Hits 3174 hit rate (%) 79.9295 size 4
[410] Total 10121 Hits 7348 hit rate (%) 72.6015 size 4
[411] Total 465 Hits 398 hit rate (%) 85.5914 size 3
[412] Total 57 Hits 46 hit rate (%) 80.7018 size 4
[413] Total 408 Hits 352 hit rate (%) 86.2745 size 4
[414] Total 508 Hits 452 hit rate (%) 88.9764 size 3
[415] Total 71 Hits 58 hit rate (%) 81.6901 size 4
[416] Total 437 Hits 394 hit rate (%) 90.1602 size 4
[417] Total 222 Hits 207 hit rate (%) 93.2432 size 4
[418] Total 32 Hits 26 hit rate (%) 81.25 size 5
[419] Total 190 Hits 181 hit rate (%) 95.2632 size 5
[420] Total 286 Hits 245 hit rate (%) 85.6643 size 4
[421] Total 39 Hits 32 hit rate (%) 82.0513 size 5
[422] Total 247 Hits 213 hit rate (%) 86.2348 size 5
[423] Total 14049 Hits 10468 hit rate (%) 74.5106 size 3
[424] Total 3957 Hits 3162 hit rate (%) 79.909 size 4
[425] Total 10092 Hits 7306 hit rate (%) 72.394 size 4
[426] Total 13870 Hits 10315 hit rate (%) 74.3691 size 4
[427] Total 3939 Hits 3148 hit rate (%) 79.9188 size 5
[428] Total 9931 Hits 7167 hit rate (%) 72.168 size 5
[429] Total 179 Hits 153 hit rate (%) 85.4749 size 4
[430] Total 18 Hits 14 hit rate (%) 77.7778 size 5
[431] Total 161 Hits 139 hit rate (%) 86.3354 size 5
[432] Total 75 Hits 60 hit rate (%) 80 size 3
[433] Total 72 Hits 58 hit rate (%) 80.5556 size 4
[434] Total 3 Hits 2 hit rate (%) 66.6667 size 4
[435] Total 73 Hits 58 hit rate (%) 79.4521 size 4
[436] Total 70 Hits 56 hit rate (%) 80 size 5
[437] Total 3 Hits 2 hit rate (%) 66.6667 size 5
[438] Total 2 Hits 2 hit rate (%) 100 size 4
[439] Total 2 Hits 2 hit rate (%) 100 size 5
[441] Total 5 Hits 3 hit rate (%) 60 size 4
[442] Total 5 Hits 3 hit rate (%) 60 size 5
[444] Total 5 Hits 3 hit rate (%) 60 size 5
[445] Total 5 Hits 3 hit rate (%) 60 size 6
[450] Total 70 Hits 57 hit rate (%) 81.4286 size 4
[451] Total 67 Hits 55 hit rate (%) 82.0896 size 5
[452] Total 3 Hits 2 hit rate (%) 66.6667 size 5
[453] Total 68 Hits 55 hit rate (%) 80.8824 size 5
[454] Total 65 Hits 53 hit rate (%) 81.5385 size 6
[455] Total 3 Hits 2 hit rate (%) 66.6667 size 6
[456] Total 2 Hits 2 hit rate (%) 100 size 5
[457] Total 2 Hits 2 hit rate (%) 100 size 6
[459] Total 14482 Hits 10860 hit rate (%) 74.9896 size 3
[460] Total 3956 Hits 3162 hit rate (%) 79.9292 size 4
[461] Total 10526 Hits 7698 hit rate (%) 73.1332 size 4
[462] Total 14019 Hits 10464 hit rate (%) 74.6416 size 4
[463] Total 3901 Hits 3118 hit rate (%) 79.9282 size 5
[464] Total 10118 Hits 7346 hit rate (%) 72.6033 size 5
[465] Total 463 Hits 396 hit rate (%) 85.5292 size 4
[466] Total 55 Hits 44 hit rate (%) 80 size 5
[467] Total 408 Hits 352 hit rate (%) 86.2745 size 5
[468] Total 503 Hits 449 hit rate (%) 89.2644 size 4
[469] Total 66 Hits 55 hit rate (%) 83.3333 size 5
[470] Total 437 Hits 394 hit rate (%) 90.1602 size 5
[471] Total 217 Hits 204 hit rate (%) 94.0092 size 5
[472] Total 27 Hits 23 hit rate (%) 85.1852 size 6
[473] Total 190 Hits 181 hit rate (%) 95.2632 size 6
[474] Total 286 Hits 245 hit rate (%) 85.6643 size 5
[475] Total 39 Hits 32 hit rate (%) 82.0513 size 6
[476] Total 247 Hits 213 hit rate (%) 86.2348 size 6
[477] Total 13979 Hits 10411 hit rate (%) 74.476 size 4
[478] Total 3890 Hits 3107 hit rate (%) 79.8715 size 5
[479] Total 10089 Hits 7304 hit rate (%) 72.3957 size 5
[480] Total 13802 Hits 10260 hit rate (%) 74.3371 size 5
[481] Total 3874 Hits 3095 hit rate (%) 79.8916 size 6
[482] Total 9928 Hits 7165 hit rate (%) 72.1696 size 6
[483] Total 177 Hits 151 hit rate (%) 85.3107 size 5
[484] Total 16 Hits 12 hit rate (%) 75 size 6
[485] Total 161 Hits 139 hit rate (%) 86.3354 size 6
[486] Total 253 Hits 187 hit rate (%) 73.913 size 1
[487] Total 61 Hits 37 hit rate (%) 60.6557 size 2
[488] Total 192 Hits 150 hit rate (%) 78.125 size 2
[489] Total 6 Hits 2 hit rate (%) 33.3333 size 2
[490] Total 2 Hits 1 hit rate (%) 50 size 3
[491] Total 4 Hits 1 hit rate (%) 25 size 3
[492] Total 247 Hits 185 hit rate (%) 74.8988 size 2
[493] Total 59 Hits 36 hit rate (%) 61.0169 size 3
[494] Total 188 Hits 149 hit rate (%) 79.2553 size 3
[495] Total 55 Hits 42 hit rate (%) 76.3636 size 2
[496] Total 9 Hits 5 hit rate (%) 55.5556 size 3
[497] Total 46 Hits 37 hit rate (%) 80.4348 size 3
[501] Total 55 Hits 42 hit rate (%) 76.3636 size 3
[502] Total 9 Hits 5 hit rate (%) 55.5556 size 4
[503] Total 46 Hits 37 hit rate (%) 80.4348 size 4
[504] Total 198 Hits 145 hit rate (%) 73.2323 size 2
[505] Total 52 Hits 32 hit rate (%) 61.5385 size 3
[506] Total 146 Hits 113 hit rate (%) 77.3973 size 3
[507] Total 6 Hits 2 hit rate (%) 33.3333 size 3
[508] Total 2 Hits 1 hit rate (%) 50 size 4
[509] Total 4 Hits 1 hit rate (%) 25 size 4
[510] Total 192 Hits 143 hit rate (%) 74.4792 size 3
[511] Total 50 Hits 31 hit rate (%) 62 size 4
[512] Total 142 Hits 112 hit rate (%) 78.8732 size 4
[513] Total 7 Hits 5 hit rate (%) 71.4286 size 2
[514] Total 6 Hits 5 hit rate (%) 83.3333 size 3
[515] Total 1 Hits 0 hit rate (%) 0 size 3
[519] Total 7 Hits 5 hit rate (%) 71.4286 size 3
[520] Total 6 Hits 5 hit rate (%) 83.3333 size 4
[521] Total 1 Hits 0 hit rate (%) 0 size 4
[531] Total 7 Hits 5 hit rate (%) 71.4286 size 3
[532] Total 6 Hits 5 hit rate (%) 83.3333 size 4
[533] Total 1 Hits 0 hit rate (%) 0 size 4
[537] Total 7 Hits 5 hit rate (%) 71.4286 size 4
[538] Total 6 Hits 5 hit rate (%) 83.3333 size 5
[539] Total 1 Hits 0 hit rate (%) 0 size 5
[540] Total 246 Hits 182 hit rate (%) 73.9837 size 2
[541] Total 55 Hits 32 hit rate (%) 58.1818 size 3
[542] Total 191 Hits 150 hit rate (%) 78.534 size 3
[543] Total 6 Hits 2 hit rate (%) 33.3333 size 3
[544] Total 2 Hits 1 hit rate (%) 50 size 4
[545] Total 4 Hits 1 hit rate (%) 25 size 4
[546] Total 240 Hits 180 hit rate (%) 75 size 3
[547] Total 53 Hits 31 hit rate (%) 58.4906 size 4
[548] Total 187 Hits 149 hit rate (%) 79.6791 size 4
[549] Total 55 Hits 42 hit rate (%) 76.3636 size 3
[550] Total 9 Hits 5 hit rate (%) 55.5556 size 4
[551] Total 46 Hits 37 hit rate (%) 80.4348 size 4
[555] Total 55 Hits 42 hit rate (%) 76.3636 size 4
[556] Total 9 Hits 5 hit rate (%) 55.5556 size 5
[557] Total 46 Hits 37 hit rate (%) 80.4348 size 5
[558] Total 191 Hits 140 hit rate (%) 73.2984 size 3
[559] Total 46 Hits 27 hit rate (%) 58.6957 size 4
[560] Total 145 Hits 113 hit rate (%) 77.931 size 4
[561] Total 6 Hits 2 hit rate (%) 33.3333 size 4
[562] Total 2 Hits 1 hit rate (%) 50 size 5
[563] Total 4 Hits 1 hit rate (%) 25 size 5
[564] Total 185 Hits 138 hit rate (%) 74.5946 size 4
[565] Total 44 Hits 26 hit rate (%) 59.0909 size 5
[566] Total 141 Hits 112 hit rate (%) 79.4326 size 5
[567] Total 186 Hits 152 hit rate (%) 81.7204 size 2
[568] Total 33 Hits 23 hit rate (%) 69.697 size 3
[569] Total 153 Hits 129 hit rate (%) 84.3137 size 3
[570] Total 1 Hits 0 hit rate (%) 0 size 3
[571] Total 1 Hits 0 hit rate (%) 0 size 4
[573] Total 185 Hits 152 hit rate (%) 82.1622 size 3
[574] Total 32 Hits 23 hit rate (%) 71.875 size 4
[575] Total 153 Hits 129 hit rate (%) 84.3137 size 4
[576] Total 40 Hits 34 hit rate (%) 85 size 3
[577] Total 4 Hits 2 hit rate (%) 50 size 4
[578] Total 36 Hits 32 hit rate (%) 88.8889 size 4
[582] Total 40 Hits 34 hit rate (%) 85 size 4
[583] Total 4 Hits 2 hit rate (%) 50 size 5
[584] Total 36 Hits 32 hit rate (%) 88.8889 size 5
[585] Total 146 Hits 118 hit rate (%) 80.8219 size 3
[586] Total 29 Hits 21 hit rate (%) 72.4138 size 4
[587] Total 117 Hits 97 hit rate (%) 82.906 size 4
[588] Total 1 Hits 0 hit rate (%) 0 size 4
[589] Total 1 Hits 0 hit rate (%) 0 size 5
[591] Total 145 Hits 118 hit rate (%) 81.3793 size 4
[592] Total 28 Hits 21 hit rate (%) 75 size 5
[593] Total 117 Hits 97 hit rate (%) 82.906 size 5
[594] Total 3 Hits 3 hit rate (%) 100 size 3
[595] Total 3 Hits 3 hit rate (%) 100 size 4
[600] Total 3 Hits 3 hit rate (%) 100 size 4
[601] Total 3 Hits 3 hit rate (%) 100 size 5
[612] Total 3 Hits 3 hit rate (%) 100 size 4
[613] Total 3 Hits 3 hit rate (%) 100 size 5
[618] Total 3 Hits 3 hit rate (%) 100 size 5
[619] Total 3 Hits 3 hit rate (%) 100 size 6
[621] Total 183 Hits 149 hit rate (%) 81.4208 size 3
[622] Total 30 Hits 20 hit rate (%) 66.6667 size 4
[623] Total 153 Hits 129 hit rate (%) 84.3137 size 4
[624] Total 1 Hits 0 hit rate (%) 0 size 4
[625] Total 1 Hits 0 hit rate (%) 0 size 5
[627] Total 182 Hits 149 hit rate (%) 81.8681 size 4
[628] Total 29 Hits 20 hit rate (%) 68.9655 size 5
[629] Total 153 Hits 129 hit rate (%) 84.3137 size 5
[630] Total 40 Hits 34 hit rate (%) 85 size 4
[631] Total 4 Hits 2 hit rate (%) 50 size 5
[632] Total 36 Hits 32 hit rate (%) 88.8889 size 5
[636] Total 40 Hits 34 hit rate (%) 85 size 5
[637] Total 4 Hits 2 hit rate (%) 50 size 6
[638] Total 36 Hits 32 hit rate (%) 88.8889 size 6
[639] Total 143 Hits 115 hit rate (%) 80.4196 size 4
[640] Total 26 Hits 18 hit rate (%) 69.2308 size 5
[641] Total 117 Hits 97 hit rate (%) 82.906 size 5
[642] Total 1 Hits 0 hit rate (%) 0 size 5
[643] Total 1 Hits 0 hit rate (%) 0 size 6
[645] Total 142 Hits 115 hit rate (%) 80.9859 size 5
[646] Total 25 Hits 18 hit rate (%) 72 size 6
[647] Total 117 Hits 97 hit rate (%) 82.906 size 6
[648] Total 67 Hits 35 hit rate (%) 52.2388 size 2
[649] Total 28 Hits 14 hit rate (%) 50 size 3
[650] Total 39 Hits 21 hit rate (%) 53.8462 size 3
[651] Total 5 Hits 2 hit rate (%) 40 size 3
[652] Total 1 Hits 1 hit rate (%) 100 size 4
[653] Total 4 Hits 1 hit rate (%) 25 size 4
[654] Total 62 Hits 33 hit rate (%) 53.2258 size 3
[655] Total 27 Hits 13 hit rate (%) 48.1481 size 4
[656] Total 35 Hits 20 hit rate (%) 57.1429 size 4
[657] Total 15 Hits 8 hit rate (%) 53.3333 size 3
[658] Total 5 Hits 3 hit rate (%) 60 size 4
[659] Total 10 Hits 5 hit rate (%) 50 size 4
[663] Total 15 Hits 8 hit rate (%) 53.3333 size 4
[664] Total 5 Hits 3 hit rate (%) 60 size 5
[665] Total 10 Hits 5 hit rate (%) 50 size 5
[666] Total 52 Hits 27 hit rate (%) 51.9231 size 3
[667] Total 23 Hits 11 hit rate (%) 47.8261 size 4
[668] Total 29 Hits 16 hit rate (%) 55.1724 size 4
[669] Total 5 Hits 2 hit rate (%) 40 size 4
[670] Total 1 Hits 1 hit rate (%) 100 size 5
[671] Total 4 Hits 1 hit rate (%) 25 size 5
[672] Total 47 Hits 25 hit rate (%) 53.1915 size 4
[673] Total 22 Hits 10 hit rate (%) 45.4545 size 5
[674] Total 25 Hits 15 hit rate (%) 60 size 5
[675] Total 4 Hits 2 hit rate (%) 50 size 3
[676] Total 3 Hits 2 hit rate (%) 66.6667 size 4
[677] Total 1 Hits 0 hit rate (%) 0 size 4
[681] Total 4 Hits 2 hit rate (%) 50 size 4
[682] Total 3 Hits 2 hit rate (%) 66.6667 size 5
[683] Total 1 Hits 0 hit rate (%) 0 size 5
[693] Total 4 Hits 2 hit rate (%) 50 size 4
[694] Total 3 Hits 2 hit rate (%) 66.6667 size 5
[695] Total 1 Hits 0 hit rate (%) 0 size 5
[699] Total 4 Hits 2 hit rate (%) 50 size 5
[700] Total 3 Hits 2 hit rate (%) 66.6667 size 6
[701] Total 1 Hits 0 hit rate (%) 0 size 6
[702] Total 63 Hits 33 hit rate (%) 52.381 size 3
[703] Total 25 Hits 12 hit rate (%) 48 size 4
[704] Total 38 Hits 21 hit rate (%) 55.2632 size 4
[705] Total 5 Hits 2 hit rate (%) 40 size 4
[706] Total 1 Hits 1 hit rate (%) 100 size 5
[707] Total 4 Hits 1 hit rate (%) 25 size 5
